,nu,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cambodia,Cameroon,Canada,Cape_Verde,Cases_on_an_international_conveyance_Japan,Cayman_Islands,Central_African_Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa_Rica,Cote_dIvoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands_(Malvinas),Faroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guernsey,Guinea,Guinea_Bissau,Guyana,Haiti,Holy_See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall_Islands,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,North_Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Vincent_and_the_Grenadines,San_Marino,Sao_Tome_and_Principe,Saudi_Arabia,Senegal,Serbia,Seychelles,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Korea,South_Sudan,Spain,Sri_Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor_Leste,Togo,Trinidad_and_Tobago,Tunisia,Turkey,Turks_and_Caicos_islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_Virgin_Islands,United_States_of_America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis_and_Futuna,Western_Sahara,Yemen,Zambia,Zimbabwe
80,81,0.0,0.0,0.07142857142857142,0.0,0.0,,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.009009009009009009,0.0,,1.0,0.0,0.0,0.0,0.004651162790697674,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,,0.05128205128205128,0.00975609756097561,0.010309278350515464,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.038922155688622756,0.0,0.2,0.0,0.0,0.003389830508474576,0.0,0.0,0.024793388429752067,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.015544041450777202,0.0,0.0,0.029411764705882353,0.15602094240837697,0.01639344262295082,0.0,0.0,0.014084507042253521,0.6294058408862034,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0006637902422834385,0.0,0.0,,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.1282051282051282,,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.003194888178913738,0.0,0.0,0.0,0.02702702702702703,0.00025412960609911054,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.014492753623188406,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.3333333333333333,0.0,0.1447935921133703,0.0,0.0,0.0,0.0782608695652174,0.046948356807511735,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0022522522522522522,0.0,0.026143790849673203,0.0,0.0,0.006188118811881188,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
81,82,0.0,0.0,0.11904761904761904,0.0,0.0,,0.0,0.0002984183825723665,0.0,0.0,0.0,0.009389671361502348,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.12422360248447205,0.0,0.0,0.0,,0.0,0.0,0.008620689655172414,0.0,0.00438871473354232,0.0,0.0,0.0,0.3333333333333333,0.0,,0.0,0.02702702702702703,0.0,,0.0,0.0,0.0,0.0,0.004651162790697674,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.18181818181818182,0.0,,0.02564102564102564,0.0,0.010309278350515464,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.023255813953488372,0.05588822355289421,0.0,0.0,0.0,0.0,0.03728813559322034,0.06666666666666667,0.0,0.04132231404958678,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.07586444176845003,0.12879581151832462,0.02459016393442623,0.0,0.0,0.0,0.8006042296072508,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0005082592121982211,0.02702702702702703,0.0,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.1111111111111111,0.0,0.19963031423290203,0.0,0.0,0.0,0.06956521739130435,0.06103286384976526,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.055299539170506916,0.0,0.0,0.0,0.15384615384615385,0.04738562091503268,0.0,0.0,0.016232530911123786,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
82,83,0.0,0.0,0.047619047619047616,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03755868544600939,0.0,0.0,0.14285714285714285,0.014925373134328358,0.0,0.0,0.14596273291925466,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.00438871473354232,0.0,0.0,0.0,0.0,0.0,,0.0,0.009009009009009009,0.0,,0.0,0.0,0.0,0.000946073793755913,0.0069767441860465115,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003861003861003861,0.047619047619047616,0.0,0.0,,0.0,0.01707317073170732,0.020618556701030927,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.05588822355289421,0.0,0.0,0.0,0.0,0.04576271186440678,0.0,0.0,0.01652892561983471,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.015544041450777202,0.0,0.0014977533699450823,0.058317564080509206,0.13507853403141362,0.02459016393442623,0.004273504273504274,0.0,0.0,0.6535750251762337,0.0,0.04950495049504951,0.0,0.0,0.0,0.0,0.025,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.18376068376068377,,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.006389776357827476,0.0,0.0,0.0,0.0,0.0,0.0,0.002967359050445104,0.02197802197802198,0.0,0.0,0.009389671361502348,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.24276032039433149,0.0,0.0,0.0,0.09565217391304348,0.018779342723004695,0.0,0.0,0.0,0.0,,0.0,0.0,0.009216589861751152,0.041474654377880185,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.026581569880499343,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
83,84,0.017857142857142856,0.10526315789473684,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.2422360248447205,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.005642633228840125,0.0,0.0,0.0,0.0,0.0,,0.0,0.018018018018018018,0.0,,0.0,0.0,0.0,0.000946073793755913,0.005426356589147287,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.00975609756097561,0.041237113402061855,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.09281437125748503,0.0,0.0,0.07142857142857142,0.0,0.05423728813559322,0.06666666666666667,0.0,0.01652892561983471,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0051813471502590676,0.2,0.000998502246630055,0.005676931016686737,0.13298429319371727,0.02459016393442623,0.008547008547008548,0.0,0.0,0.6052366565961732,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0,0.0,0.0006637902422834385,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452991452991453,,0.0,0.0,0.0,0.03225806451612903,0.021739130434782608,0.0,0.058823529411764705,0.0,0.003194888178913738,0.0,0.07317073170731707,0.0,0.0,0.0,0.03088803088803089,0.001483679525222552,0.0989010989010989,0.0,0.0,0.023474178403755867,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.875,0.0,0.2846580406654344,0.0,0.0,0.0,0.09565217391304348,0.028169014084507043,0.0,0.0,0.0,0.75,,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.06209150326797386,0.0,0.0,0.024146501887705094,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.05555555555555555
84,85,0.0,0.05263157894736842,0.047619047619047616,0.0,0.0,,0.0,0.000596836765144733,0.0,0.0,0.01694915254237288,0.023474178403755867,0.0,0.0,0.14285714285714285,0.014925373134328358,0.0,0.0,0.2391304347826087,0.0,0.0,0.0,,0.0,0.0,0.008620689655172414,0.0,0.007523510971786834,0.0,0.0,0.0,0.0,0.0,,0.01694915254237288,0.013513513513513514,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0031007751937984496,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.6,0.007722007722007722,0.047619047619047616,0.36363636363636365,0.0,,0.07692307692307693,0.02195121951219512,0.05154639175257732,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.11976047904191617,0.0,0.0,0.0,0.0,0.03898305084745763,0.0,0.0,0.024793388429752067,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.010362694300518135,0.0,0.0,0.03505568466483566,0.12774869109947645,0.03278688524590164,0.004273504273504274,0.0,0.028169014084507043,0.7482376636455186,0.1111111111111111,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,,0.0,0.0,0.00033189512114171923,0.0,0.0,,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.2692307692307692,,0.0,0.0,0.2,0.0,0.0,0.0,0.11764705882352941,0.0,0.003194888178913738,0.0,0.0,0.0,0.05405405405405406,0.0005082592121982211,0.007722007722007722,0.002967359050445104,0.10989010989010989,0.0,0.0,0.018779342723004695,0.0,0.0,,0.0,,0.25,0.0,0.017241379310344827,0.0,0.0,,0.0,0.0,0.0,0.0,0.018018018018018018,,0.0,0.0,0.75,0.0,0.3166974738139248,0.0,0.0,0.0,0.1826086956521739,0.09389671361502347,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.12091503267973856,0.0,0.0,0.04281535649912766,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
85,86,0.0,0.0,0.047619047619047616,0.0,0.0,,0.0,0.000596836765144733,0.0,0.0,0.05084745762711865,0.018779342723004695,0.023255813953488372,0.0,0.0,0.014925373134328358,0.0,0.0,0.33229813664596275,0.0,0.0,0.0,,0.0,0.0,0.008620689655172414,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,,0.0,0.036036036036036036,0.0,,0.0,0.0,0.0,0.000946073793755913,0.004651162790697674,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.011583011583011582,0.0,0.09090909090909091,0.0,,0.10256410256410256,0.004878048780487805,0.020618556701030927,0.0,0.0,,0.16666666666666666,0.0,0.0,,,0.0,0.046511627906976744,0.11526946107784432,0.0,0.0,0.0,0.0,0.08305084745762711,0.06666666666666667,0.0,0.01652892561983471,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00199700449326011,0.017511242567832676,0.14973821989528796,0.01639344262295082,0.008547008547008548,0.0,0.028169014084507043,0.6898288016112789,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.3418803418803419,,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.00025412960609911054,0.011583011583011582,0.005934718100890208,0.10989010989010989,0.0,0.0,0.009389671361502348,0.0,0.0,,0.0,,0.0,0.0,0.017241379310344827,0.0,0.014492753623188406,,0.0,0.0,0.0,0.0,0.009009009009009009,,0.0,0.0,0.625,0.0,0.45471349353049906,0.0,0.0,0.0,0.19130434782608696,0.07981220657276995,0.0,0.0,0.0,0.0,,0.0,0.14285714285714285,0.009216589861751152,0.06912442396313365,0.0,0.0,0.0022522522522522522,0.0,0.15604575163398693,0.0,0.0,0.050526405142976114,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
86,87,0.0,0.05263157894736842,0.09523809523809523,0.5,0.0,,0.0,0.001193673530289466,0.024390243902439025,0.0,0.03389830508474576,0.08450704225352113,0.023255813953488372,0.0,0.14285714285714285,0.0,0.0,0.0,0.3167701863354037,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.012539184952978056,0.0,0.0,0.0,0.0,0.0,,0.0,0.018018018018018018,0.0,,0.0,0.0,0.0,0.000946073793755913,0.003875968992248062,0.005,0.0,0.0,0.0,0.0,0.013333333333333334,0.16666666666666666,0.0,0.0,0.011583011583011582,0.047619047619047616,0.3181818181818182,0.0,,0.0,0.012195121951219513,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.023255813953488372,0.18213572854291418,0.0,0.0,0.0,0.0,0.09322033898305085,0.0,0.0,0.03305785123966942,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015625,0.0,0.0,0.00199700449326011,0.11692974778418294,0.1643979057591623,0.05737704918032787,0.042735042735042736,0.0,0.04225352112676056,0.6646525679758308,0.0,0.009900990099009901,0.25,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0,0.0,0.0009956853634251576,0.0,0.0,,0.07692307692307693,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.11764705882352941,0.0,0.003194888178913738,0.022727272727272728,0.07317073170731707,0.0,0.0,0.00025412960609911054,0.02702702702702703,0.002967359050445104,0.18681318681318682,0.0,0.0,0.018779342723004695,0.003395585738539898,0.0,,0.0,,0.0,0.0,0.017241379310344827,0.0,0.014492753623188406,,0.0,0.0,0.0,0.0,0.009009009009009009,,0.0,0.0034965034965034965,1.0,0.0,0.403573629081947,0.0,0.0,0.0,0.26956521739130435,0.27230046948356806,0.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.07373271889400922,0.0,0.0,0.0022522522522522522,0.0,0.14787581699346405,0.0,0.0,0.04991763814477755,0.0,0.0,,0.058823529411764705,0.0,,0.0,0.0,0.0,0.0
87,88,0.017857142857142856,0.15789473684210525,0.023809523809523808,0.0,0.0,,0.0,0.0014920919128618322,0.0,0.0,0.0,0.07511737089201878,0.0,0.0,0.0,0.0,0.0,0.0,0.39751552795031053,0.0,0.0,0.0,,0.0,0.0,0.008620689655172414,0.0,0.009404388714733543,0.0,0.0,0.0,0.0,0.0,,0.0,0.06306306306306306,0.0,,0.0,0.0,0.0,0.000946073793755913,0.002325581395348837,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.0,0.4,0.0,0.0,0.5,0.0,,0.2564102564102564,0.01707317073170732,0.030927835051546393,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.06976744186046512,0.14920159680638723,0.0,0.0,0.0,0.0,0.12203389830508475,0.0,0.0,0.01652892561983471,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0051813471502590676,0.0,0.000998502246630055,0.05260012676183865,0.15078534031413612,0.03278688524590164,0.01282051282051282,0.0,0.028169014084507043,0.9778449144008057,0.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.027777777777777776,0.5,0.0,0.0,0.25,0.0,0.0,0.0,,0.0,0.0,0.001327580484566877,0.045454545454545456,0.0,,0.0,0.0,0.09285714285714286,0.0,0.0,0.0,0.0,0.47863247863247865,,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.0005082592121982211,0.03474903474903475,0.0,0.17582417582417584,0.09090909090909091,0.0,0.03286384976525822,0.003395585738539898,0.0,,0.0,,0.0,0.0,0.0,0.0,0.043478260869565216,,0.0,0.0,0.0,0.0,0.036036036036036036,,0.0,0.0,0.625,0.0,0.4738139248305607,0.0,0.0,0.0,0.2782608695652174,0.16901408450704225,0.0,0.0,0.0,0.0,,0.3333333333333333,0.14285714285714285,0.004608294930875576,0.07834101382488479,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.08339982304569846,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
88,89,0.017857142857142856,0.05263157894736842,0.07142857142857142,0.16666666666666666,0.0,,0.0,0.000596836765144733,0.0,0.0,0.01694915254237288,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.43788819875776397,0.0,0.0,0.0,,0.0,0.0,0.008620689655172414,0.0,0.013793103448275862,0.0,1.0,0.01809954751131222,1.0,0.0,,0.01694915254237288,0.03153153153153153,0.0,,0.0,0.0,0.0,0.000946073793755913,0.003875968992248062,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.16666666666666666,0.0,0.0,0.007722007722007722,0.09523809523809523,0.5909090909090909,0.0,,0.20512820512820512,0.01707317073170732,0.061855670103092786,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.046511627906976744,0.1591816367265469,0.0,0.0,0.0,0.0,0.10847457627118644,0.13333333333333333,0.0,0.03305785123966942,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015625,0.010362694300518135,0.0,0.0029955067398901645,0.08768901095584462,0.14554973821989528,0.01639344262295082,0.05982905982905983,0.0,0.028169014084507043,0.8932527693856999,0.0,0.0297029702970297,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.05555555555555555,0.25,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,,0.0,0.0,0.001327580484566877,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3974358974358974,,0.25,0.0,0.0,0.0,0.021739130434782608,0.0,0.23529411764705882,0.0,0.006389776357827476,0.0,0.07317073170731707,0.0,0.0,0.0012706480304955528,0.05405405405405406,0.002967359050445104,0.26373626373626374,0.045454545454545456,0.14285714285714285,0.023474178403755867,0.001697792869269949,0.0,,0.0,,0.25,0.0,0.017241379310344827,0.0,0.057971014492753624,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.5126309303758472,0.1111111111111111,0.0,0.0,0.30434782608695654,0.1784037558685446,0.0,0.0,0.0,0.25,,0.0,0.0,0.0,0.07373271889400922,0.0,0.0,0.006756756756756757,0.0,0.238562091503268,0.16666666666666666,0.0,0.0982131533351968,0.0,0.08333333333333333,,0.0,0.0,,0.0,0.0,0.0,0.0
89,90,0.017857142857142856,0.0,0.047619047619047616,0.3333333333333333,0.15384615384615385,,0.0,0.0002984183825723665,0.04878048780487805,0.0,0.03389830508474576,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.46273291925465837,0.0,0.0,0.0,,0.0018633540372670807,0.0,0.008620689655172414,0.0,0.013793103448275862,0.0,0.0,0.004524886877828055,0.0,0.0,,0.0,0.0045045045045045045,0.0,,0.0,0.0,0.0,0.000946073793755913,0.0015503875968992248,0.01,0.0,0.0,0.0,0.25,0.013333333333333334,0.0,0.0,0.2,0.019305019305019305,0.09523809523809523,0.3181818181818182,0.0,,0.28205128205128205,0.024390243902439025,0.061855670103092786,0.0,0.0,,0.3333333333333333,0.0,0.0,,,0.0,0.046511627906976744,0.14570858283433133,0.0,0.0,0.0,0.0,0.11186440677966102,0.0,0.0,0.049586776859504134,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015625,0.010362694300518135,0.0,0.00199700449326011,0.07014456885884164,0.12879581151832462,0.0,0.042735042735042736,0.0,0.04225352112676056,0.7633434038267876,0.0,0.019801980198019802,0.25,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0,,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,,0.0,0.5,0.001327580484566877,0.0,0.0,,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.5641025641025641,,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.11764705882352941,0.0,0.006389776357827476,0.0,0.17073170731707318,0.0,0.0,0.0005082592121982211,0.011583011583011582,0.005934718100890208,0.2087912087912088,0.09090909090909091,0.0,0.051643192488262914,0.0050933786078098476,0.0,,0.0,,0.5,0.0,0.06896551724137931,0.0,0.043478260869565216,,0.0,0.0,0.0,0.0,0.018018018018018018,,0.0,0.0,0.75,0.0,0.5163277880468269,0.0,0.0,0.0,0.33043478260869563,0.10328638497652583,0.1,1.0,0.0,0.25,,0.0,0.14285714285714285,0.009216589861751152,0.10599078341013825,0.0,0.0,0.0022522522522522522,0.07692307692307693,0.17320261437908496,0.0,0.0,0.06452804610154304,0.3333333333333333,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
